1871,31,20,10,401,1372,426,70,37,3,60,19,73,303,109,3.55,367,2,42,23,225
1871,28,19,9,302,1196,323,52,21,10,60,22,69,241,77,2.76,308,6,28,22,218
1871,29,10,19,249,1186,328,35,40,7,26,25,18,341,116,4.11,346,13,53,34,223
1871,19,7,12,137,746,178,19,8,2,33,9,16,243,97,5.17,261,5,21,17,163
1871,33,16,17,302,1404,403,43,21,1,33,15,46,313,121,3.72,373,7,42,22,227
1871,28,21,7,376,1281,410,66,27,9,46,23,56,266,137,4.95,329,3,53,16,194
1871,25,4,21,231,1036,274,44,25,3,38,30,53,287,108,4.3,315,3,34,16,220
1871,29,13,15,351,1248,384,51,34,6,49,19,62,362,153,5.51,431,4,75,12,198
1871,32,15,15,310,1353,375,54,26,6,48,13,48,303,137,4.37,371,4,45,13,217
1872,58,35,19,617,2576,747,94,35,14,27,28,35,434,173,3.02,566,3,63,0,432
1872,29,3,26,152,1075,235,26,6,0,14,29,8,413,165,5.73,503,6,24,0,278
1872,37,9,28,237,1466,370,46,10,0,19,24,17,473,189,5.06,561,6,19,0,358
1872,48,39,8,521,2137,677,114,31,7,28,26,47,236,95,1.99,438,0,27,0,263
1872,22,6,16,174,935,272,37,6,0,17,13,12,254,101,4.57,289,6,24,0,168
1872,24,5,19,220,1014,305,31,8,1,5,12,5,348,140,5.97,368,5,13,0,224
1872,56,34,20,523,2423,668,86,13,4,55,52,56,362,145,2.55,618,2,32,0,326
1872,47,30,14,539,2140,678,77,23,4,69,47,58,349,140,3.01,513,3,26,0,298
1872,25,15,10,273,1124,329,56,11,5,7,14,9,191,77,3.08,282,2,10,0,144
1872,9,2,7,54,363,93,12,3,0,4,4,0,140,56,6.38,147,0,5,0,96
1872,11,0,11,80,460,105,3,2,0,1,3,0,190,76,6.91,194,2,3,0,100
1873,57,34,22,644,2563,810,119,39,12,40,25,21,451,170,3.01,680,4,42,34,366
1873,6,0,6,26,211,33,5,0,0,0,0,0,152,48,8,144,4,0,0,70
1873,55,17,37,366,2210,588,60,27,6,53,43,18,549,221,3.98,737,8,42,15,505
1873,60,43,16,739,2755,930,137,46,13,62,24,39,460,154,2.59,708,5,35,31,434
1873,23,2,21,98,868,204,21,8,0,8,22,2,299,74,3.22,342,7,9,8,247
1873,53,29,24,424,2214,622,67,41,5,42,22,15,385,139,2.62,539,5,69,76,419
1873,52,28,23,474,2266,683,76,22,4,35,32,29,403,160,3.03,553,4,58,41,383
1873,53,36,17,526,2325,645,83,20,8,62,39,44,396,148,2.77,627,3,44,28,361
1873,39,8,31,283,1563,408,45,25,3,19,33,5,485,181,4.71,593,11,22,7,240
1874,47,9,38,227,1781,435,53,8,1,24,0,,505,201,4.31,643,4,37,0,355
1874,56,22,33,301,2165,497,50,11,1,32,0,,449,180,3.2,621,16,13,0,500
1874,71,52,18,735,3122,981,130,57,18,32,0,,415,166,2.36,777,1,27,0,457
